weight,sampledate,week,year
26      ,01/07/2015,27,2015
23      ,27/08/2015,35,2015
22  1/14,01/09/2015,36,2015
21      ,30/09/2015,40,2015
19  3/14,28/11/2015,48,2015
18  8/14,11/12/2015,50,2015
19      ,28/12/2015,53,2015
18 11/14,04/01/2016,2,2016
18  6/14,11/01/2016,3,2016
18  3/14,17/01/2016,4,2016
18      ,22/01/2016,4,2016
18      ,24/01/2016,5,2016
17 10/14,08/02/2016,7,2016
17  6/14,23/05/2016,22,2016
17      ,26/05/2016,22,2016
17 10/14,04/06/2016,23,2016
17 10/14,23/08/2016,35,2016
17  8/14,29/08/2016,36,2016
17  8/14,04/09/2016,37,2016
17  7/14,19/10/2016,43,2016
17 12/14,22/11/2016,48,2016
18      ,28/11/2016,49,2016
17  8/14,05/12/2016,50,2016
17  4/14,12/12/2016,51,2016
17  7/14,19/12/2016,52,2016
18  2/14,02/01/2017,1,2017
17  8/14,08/01/2017,2,2017
17  3/14,04/02/2017,5,2017
17  2/14,11/02/2017,6,2017
16 13/14,24/02/2017,8,2017
17  3/14,11/03/2017,10,2017
17  2/14,21/03/2017,12,2017
17  4/14,04/04/2017,14,2017
16 12/14,21/04/2017,16,2017
16 12/14,27/05/2017,21,2017
17  6/14,27/07/2017,30,2017
17 12/14,14/09/2017,37,2017
17  7/14,05/10/2017,40,2017
17  4/14,21/10/2017,42,2017
17  2/14,27/10/2017,43,2017
17 12/14,01/12/2017,48,2017
17  8/14,06/01/2018,1,2018
17  8/14,18/01/2018,3,2018
17  6/14,28/01/2018,5,2018
17  7/14,26/03/2018,13,2018
17  6/14,02/04/2018,14,2018
17  5/14,07/04/2018,14,2018
17  4/14,15/04/2018,16,2018
17  2/14,17/04/2018,16,2018
17  1/14,21/04/2018,16,2018
17      ,23/04/2018,17,2018
16 12/14,27/04/2018,17,2018
16 11/14,03/05/2018,18,2018
16 10/14,05/05/2018,18,2018
16  9/14,10/05/2018,19,2018
16  8/14,12/05/2018,19,2018
16 10/14,21/05/2018,21,2018
17  8/14,18/09/2018,38,2018
17 10/14,01/10/2018,40,2018
17  9/14,06/10/2018,40,2018
17  8/14,12/10/2018,41,2018
17  7/14,01/11/2018,44,2018
17  4/14,08/11/2018,45,2018
17  3/14,16/11/2018,46,2018
17  7/14,08/12/2018,49,2018
17  7/14,27/01/2019,5,2019
17  6/14,21/02/2019,8,2019
18  2/14,10/05/2019,19,2019
18      ,18/05/2019,20,2019
18      ,02/06/2019,23,2019
18  6/14,10/07/2019,28,2019
18  2/14,19/07/2019,29,2019
19      ,21/10/2019,43,2019
18  7/14,02/11/2019,44,2019
18  6/14,19/11/2019,47,2019
18  7/14,25/11/2019,48,2019
19  4/14,21/01/2020,4,2020
19      ,31/01/2020,5,2020
18  8/14,07/02/2020,6,2020
18 11/14,29/02/2020,9,2020
20      ,22/06/2020,26,2020
19 13/14,28/06/2020,27,2020
19  7/14,04/07/2020,27,2020
19  4/14,11/07/2020,28,2020
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
